id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
5196,OISR,medium_airport,"Lamerd Airport",27.3727,53.188801,1337,AS,Iran,IR,"Fars Province",IR-07,07,Lamerd,1,OISR,LFM,,,https://en.wikipedia.org/wiki/Lamerd_Airport,,500,2021-07-31T16:52:11+00:00
5150,OICI,medium_airport,"Ilam Airport",33.58660125732422,46.40480041503906,4404,AS,Iran,IR,"Iiam Province",IR-16,16,Ilam,0,OICI,IIL,,,https://en.wikipedia.org/wiki/Ilam_Airport,,250,2008-06-13T14:30:04+00:00
5173,OIKJ,medium_airport,"Jiroft Airport",28.723519,57.675037,2663,AS,Iran,IR,"Kerman Province",IR-08,08,Jiroft,0,OIKJ,JYR,,,https://en.wikipedia.org/wiki/Jiroft_Airport,Sabzevaran,250,2022-03-17T17:01:59+00:00
5179,OIKY,medium_airport,"Sirjan Airport",29.5509,55.672699,5846,AS,Iran,IR,"Kerman Province",IR-08,08,Sirjan,0,OIKY,SYJ,,,https://en.wikipedia.org/wiki/Sirjan_Airport,,250,2024-05-17T08:22:21+00:00
5186,OIMT,medium_airport,"Tabas Airport",33.667801,56.8927,2312,AS,Iran,IR,"Yazd Province",IR-21,21,Tabas,0,OIMT,TCX,,,https://en.wikipedia.org/wiki/Tabas_Airport,,250,2024-05-17T08:23:14+00:00
5198,OISY,medium_airport,"Yasuj Airport",30.702238,51.542988,5939,AS,Iran,IR,"Kohgiluyeh and Boyer-Ahmad Province",IR-17,17,Yasuj,0,OISY,YES,,,https://en.wikipedia.org/wiki/Yasuj_Airport,Yasouj,250,2022-11-20T21:14:21+00:00
5207,OIZB,medium_airport,"Zabol Airport",31.098301,61.5439,1628,AS,Iran,IR,"Sistan and Baluchestan Province",IR-11,11,Zabol,0,OIZB,ACZ,,,https://en.wikipedia.org/wiki/Zabol_Airport,,250,2021-02-03T16:14:00+00:00
35276,OIKQ,small_airport,"Qeshm Dayrestan International Airport",26.754639,55.902353,45,AS,Iran,IR,"Hormozgan Province",IR-22,22,Dayrestan,1,OIKQ,GSM,,,https://en.wikipedia.org/wiki/Qeshm_International_Airport,"Qeshm Island",150,2022-08-06T09:41:42+00:00
44968,IR-0006,closed,"Andimeshk-Karkhe Dam Highway Strip",32.402755,48.181872,,AS,Iran,IR,"Khuzestan Province",IR-06,06,Ghods,0,,,,,,"باند قدیمی فرودگاه اندیمشک",0,2021-03-08T17:13:51+00:00
5152,OICS,medium_airport,"Sanandaj Airport",35.24589920043945,47.00920104980469,4522,AS,Iran,IR,"Kurdistan Province",IR-12,12,,1,OICS,SDG,,,https://en.wikipedia.org/wiki/Sanandaj_Airport,,750,2008-11-30T19:37:35+00:00
